"random_seed","run","tick","FirmID","FirmNumID","Price","Demand","Quality","PerceivedQuality","Profit","AccumProfit","Age","AutoRegressiveProfit","FixedCost","GrossMargin","Margin"
1,1,1.0,"Firm 26","26",59.0451,3,73.4083,73.2626,15.471944733300006,15.471944733300006,0.0,15.471944733300006,0.0,0.08734534975975995,0.08734534975975995
1,1,1.0,"Firm 8","8",46.2585,1,52.5675,52.4626,18.625079437499995,18.625079437499995,0.0,18.625079437499995,0.0,0.40263042332760457,0.40263042332760457
1,1,1.0,"Firm 14","14",75.5124,1,71.6861,71.5431,24.12343066790001,24.12343066790001,0.0,24.12343066790001,0.0,0.31946316986216844,0.31946316986216844
1,1,1.0,"Firm 4","4",103.1773,0,43.7447,43.6572,0.0,0.0,0.0,0.0,0.0,0.814532966254205,NaN
1,1,1.0,"Firm 17","17",7.8562,12,23.8106,23.7644,26.24103931679999,26.24103931679999,0.0,26.24103931679999,0.0,0.27834745505460645,0.27834745505460645
1,1,1.0,"Firm 25","25",117.9083,3,98.9218,98.7254,60.159224542800004,60.159224542800004,0.0,60.159224542800004,0.0,0.17007347953960833,0.17007347953960833
1,1,1.0,"Firm 10","10",30.5325,0,46.7402,46.6467,0.0,0.0,0.0,0.0,0.0,0.28448495994759665,NaN
1,1,1.0,"Firm 11","11",330.7554,0,98.2160,98.0196,0.0,0.0,0.0,0.0,0.0,0.708352980601375,NaN
1,1,1.0,"Firm 3","3",0.0915,78,0.9160,0.9145,6.4825363199999995,6.4825363199999995,0.0,6.4825363199999995,0.0,0.9082998907103824,0.9082998907103825
1,1,1.0,"Firm 30","30",96.1502,3,93.6071,93.4213,25.581924887699955,25.581924887699955,0.0,25.581924887699955,0.0,0.0886873693024038,0.08868736930240378
1,1,1.0,"Firm 2","2",99.2808,0,42.1786,42.0942,0.0,0.0,0.0,0.0,0.0,0.8208078200457691,NaN
1,1,1.0,"Firm 1","1",0.3281,48,2.4064,2.4022,12.9692347392,12.9692347392,0.0,12.9692347392,0.0,0.8235062188357207,0.8235062188357208
1,1,1.0,"Firm 21","21",53.7030,1,68.9626,68.8250,6.144598012400003,6.144598012400003,0.0,6.144598012400003,0.0,0.11441815191702517,0.11441815191702517
1,1,1.0,"Firm 5","5",1.8790,17,8.2148,8.1991,20.4709003632,20.4709003632,0.0,20.4709003632,0.0,0.6408571631718999,0.6408571631718999
1,1,1.0,"Firm 7","7",33.3318,0,39.6486,39.5693,0.0,0.0,0.0,0.0,0.0,0.5283748606555901,NaN
1,1,1.0,"Firm 22","22",23.4812,8,44.7244,44.6367,27.827843571199963,27.827843571199963,0.0,27.827843571199963,0.0,0.14813895569221314,0.14813895569221314
1,1,1.0,"Firm 28","28",36.7218,5,59.0006,58.8841,9.555459982000016,9.555459982000016,0.0,9.555459982000016,0.0,0.05204243790881719,0.05204243790881719
1,1,1.0,"Firm 15","15",6.7131,6,20.8279,20.7869,14.250514895399997,14.250514895399997,0.0,14.250514895399997,0.0,0.35379866468546567,0.35379866468546567
1,1,1.0,"Firm 23","23",105.2426,0,93.0118,92.8258,0.0,0.0,0.0,0.0,0.0,0.17797593947317936,NaN
1,1,1.0,"Firm 19","19",81.3441,0,80.1872,80.0268,0.0,0.0,0.0,0.0,0.0,0.20953246223881009,NaN
1,1,1.0,"Firm 29","29",69.9176,0,80.2568,80.0963,0.0,0.0,0.0,0.0,0.0,0.07875070851402233,NaN
1,1,1.0,"Firm 12","12",37.9406,0,56.7006,56.5872,0.0,0.0,0.0,0.0,0.0,0.1526338433340537,NaN
1,1,1.0,"Firm 27","27",47.1461,6,67.1280,66.9958,12.506496960000021,12.506496960000021,0.0,12.506496960000021,0.0,0.044211847003251675,0.04421184700325167
1,1,1.0,"Firm 6","6",22.1843,0,28.5078,28.4508,0.0,0.0,0.0,0.0,0.0,0.6336622472469269,NaN
1,1,1.0,"Firm 20","20",113.3346,3,93.7887,93.6025,76.11419256929992,76.11419256929992,0.0,76.11419256929992,0.0,0.22386277026697912,0.22386277026697915
1,1,1.0,"Firm 13","13",340.0107,0,99.5283,99.3292,0.0,0.0,0.0,0.0,0.0,0.7086596833308481,NaN
1,1,1.0,"Firm 16","16",114.5739,0,87.2657,87.0912,0.0,0.0,0.0,0.0,0.0,0.3353370709655517,NaN
1,1,1.0,"Firm 9","9",26.8337,1,41.7669,41.6836,9.388960643900003,9.388960643900003,0.0,9.388960643900003,0.0,0.34989437326570705,0.34989437326570705
1,1,1.0,"Firm 24","24",41.0414,3,61.3486,61.2268,10.214678341200013,10.214678341200013,0.0,10.214678341200013,0.0,0.08296239359281127,0.08296239359281127
1,1,1.0,"Firm 18","18",7.9715,15,24.1116,24.0652,32.36711181600002,32.36711181600002,0.0,32.36711181600002,0.0,0.27069026587216977,0.27069026587216977
